menu.nr305_1_highest_peak.23;Közlöd a valós adatokat.
menu.nr305_1_highest_peak.24;Megmásítod a mért eredményt.
menu.nr305_1_highest_peak.3;Segítesz rendezni a vitát.
menu.nr305_1_highest_peak.4;Nem avatkozol bele.
menu.nr305_1_highest_peak.72;Segítesz rendezni a vitát.
menu.nr305_1_highest_peak.73;Nem avatkozol bele.
say.nr305_1_highest_peak.1;Colstok bányásztelepülés mellett elhaladtában Meve küzdelem zajaira lett figyelmes.\n
say.nr305_1_highest_peak.1019;– mondta a törp csalódottan. Aztán kisvártatva még hozzátette:\n
say.nr305_1_highest_peak.1020;"Habár... csak Te láttad, mit mutatott a mérômûszer, Királynô. Talán, esetleg, ööö, újrakalibrálhatnád az eredményeket egy kicsinység?"\n
say.nr305_1_highest_peak.2;Azonban akiket törpöket látott, nem shaelmaarok vagy barbegazik ellen küzdöttek. Ó, nem. Hanem egymás ellen. Szerencsére még nem fegyverekkel estek egymásnak, de tekintve, hogy a törpök keze akkora, mint a péklapát, ez nem feltétlenül jelentette azt, hogy ne történhetne haláleset.\n
say.nr305_1_highest_peak.22;A lyriaiaknak sikerült visszaverniük a szörnyeket, és eljutni a csúcsokig. Ott aztán Meve utasította az embereit, hogy végezzék el a méréseket. Miközben várakozott, a Mahakam-hegység vonulatainak lélegzetelállító szépségében gyönyörködött.
say.nr305_1_highest_peak.27;"Hazudni egyszerû volna, igaz"
say.nr305_1_highest_peak.29;"Mindegy, milyen eredményt mondok, a törpök egyik fele mindenképp elégedetlen lesz"
say.nr305_1_highest_peak.30;"Ho-hó, legények!"
say.nr305_1_highest_peak.31;– harsogta Gábor Zigrin. –
say.nr305_1_highest_peak.33;"Mi ez az ostobaság? Nyughassatok, a fene essen belétek!"\n\n
say.nr305_1_highest_peak.34;Gábor közbeavatkozása hatásosnak bizonyult. A törpök onnantól már csak szópárbajt vívtak egymással. Meve, aki számára nem volt ismeretlen a barakkokban használt zsargon, a törpök káromkodásai hallatán mégis elvörösödött.
say.nr305_1_highest_peak.36;Az obszcén mocskolódásokból a lényeget kihámozva Meve arra a következtetésre jutott, hogy az összezördülés apropója egy régóta húzódó vita egy bizonyos hegy magasságával kapcsolatban – pontosabban ama hegynek két csúcsát illetôen. Az egyik hegycsúcs a Dahlberg klán területéhez tartozott, míg a másik a Hoogok földjére esett. Egyik is, másik is úgy gondolta, hogy az ô csúcsuk a magasabb, és minden, annak ellentmondó mérési eredmény csakis koholmány lehet.\n
say.nr305_1_highest_peak.37;"Királynô..."
say.nr305_1_highest_peak.39;– fogott bele a mondandójába Gábor, és közben idegesen rágta a szakállát, –
say.nr305_1_highest_peak.40;"...azt kérdik, hogy Te, mint pártatlan és tisztességes nôszemély, nem rendeznéd-e ezt az idióta torzsalkodást egyszer s mindenkorra..."
say.nr305_1_highest_peak.41;– mondta a királynô, és finoman meghajolt. –
say.nr305_1_highest_peak.43;"Mégis, jelen pillanatban sürgetôbb ügyek kívánják meg a figyelmemet. Bocsássatok meg, de vissza kell hogy utasítsam e felkérést."
say.nr305_1_highest_peak.44;A törpök egyként sóhajtottak fel, majd eltûntek az otthonaikban. Ám a királynô biztos volt abban, hogy a rendezetlen vita miatt a Hoogok és a Dahlbergek újra és újra egymás torkának majd.
say.nr305_1_highest_peak.45;Amikor alig hogy félútig értek az elsôhöz menet, egy hosszan elnyúló üvöltést hallottak – olyat, amitôl még a sziklákon megtapadt hó is leszakadt és alázúdult. Anélkül, hogy megvárta volna a felderítôket visszaérni a jelentéseikkel, Meve kivonta a kardját.
say.nr305_1_highest_peak.46;A törp szerkezet minden kétséget kizáróan megmutatta: a Dahlberg klán területén található csúcs két lábnyival magasabb, mint a Hoogok területén lévô. Gábor érezhetôen elégedetlen volt a végeredménnyel:\n
say.nr305_1_highest_peak.48;"Hogy a kecske rúgja meg... Azt reméltem, bebizonyosodik, hogy Brouver klánjának van igaza. Megelégedéssel töltötte volna el, ha a Dahlbergek alulmaradnak egy–két karóhossznyival. Ráadásul, valószínûleg, Brouver is sokkal készségesebb lett volna a segítséget illetôen"
say.nr305_1_highest_peak.50;– mondta Meve. –
say.nr305_1_highest_peak.52;"Ám e tettet elfeledni már annál nehezebb. Nem, Gábor. Az igazat fogjuk mondani."\n
